"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2016-11-01,"19:45","Group stage","Estádio do Sport Lisboa e Benfica","2016/2017","Benfica pt","ua Dynamo Kyiv",1,0,NA,NA,"H"
2016-11-01,"20:45","Group stage","Philips Stadion","2016/2017","PSV Eindhoven nl","de Bayern Munich",1,2,NA,NA,"A"
2016-11-01,"20:45","Group stage","St. Jakob-Park","2016/2017","Basel ch","fr Paris S-G",1,2,NA,NA,"A"
2016-11-01,"20:45","Group stage","Estadio Vicente Calderón","2016/2017","Atlético Madrid es","ru Rostov",2,1,NA,NA,"H"
2016-11-01,"20:45","Group stage","Vodafone Arena","2016/2017","Beşiktaş tr","it Napoli",1,1,NA,NA,"D"
2016-11-01,"20:45","Group stage","Stadion im Borussia-Park","2016/2017","Gladbach de","sct Celtic",1,1,NA,NA,"D"
2016-11-01,"21:45","Group stage","Stadion Vasil Levski","2016/2017","Ludogorets bg","eng Arsenal",2,3,NA,NA,"A"
2016-11-02,"19:45","Group stage","Estádio Do Dragão","2016/2017","Porto pt","be Club Brugge",1,0,NA,NA,"H"
2016-11-02,"19:45","Group stage","Wembley Stadium","2016/2017","Tottenham eng","de Leverkusen",0,1,NA,NA,"A"
2016-11-02,"20:45","Group stage","Stadion Miejski Legii Warszawa im. Marsz...","2016/2017","Legia Warsaw pl","es Real Madrid",3,3,NA,NA,"D"
2016-11-02,"20:45","Group stage","Telia Parken","2016/2017","FC Copenhagen dk","eng Leicester City",0,0,NA,NA,"D"
2016-11-02,"20:45","Group stage","Allianz Stadium","2016/2017","Juventus it","fr Lyon",1,1,NA,NA,"D"
2016-11-02,"20:45","Group stage","Stade Louis II","2016/2017","Monaco fr","ru CSKA Moscow",3,0,NA,NA,"H"
2016-11-02,"20:45","Group stage","Estadio Ramón Sánchez Pizjuán","2016/2017","Sevilla es","hr Dinamo Zagreb",4,0,NA,NA,"H"
2016-11-02,"20:45","Group stage","Signal Iduna Park","2016/2017","Dortmund de","pt Sporting CP",1,0,NA,NA,"H"
2016-11-22,"19:45","Group stage","Estádio José Alvalade","2016/2017","Sporting CP pt","es Real Madrid",1,2,NA,NA,"A"
2016-11-22,"19:45","Group stage","King Power Stadium","2016/2017","Leicester City eng","be Club Brugge",2,1,NA,NA,"H"
2016-11-22,"20:00","Group stage","VEB Arena","2016/2017","CSKA Moscow ru","de Leverkusen",1,1,NA,NA,"D"
2016-11-22,"20:45","Group stage","Signal Iduna Park","2016/2017","Dortmund de","pl Legia Warsaw",8,4,NA,NA,"H"
2016-11-22,"20:45","Group stage","Stade Louis II","2016/2017","Monaco fr","eng Tottenham",2,1,NA,NA,"H"
