"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2017-12-06,"19:45","Group stage","Wembley Stadium","2017/2018","Tottenham eng","cy APOEL FC",3,0,2.3,0.6,"H"
2017-12-06,"19:45","Group stage","Estádio Do Dragão","2017/2018","Porto pt","fr Monaco",5,2,1.9,1.7,"H"
2017-12-06,"19:45","Group stage","Anfield","2017/2018","Liverpool eng","ru Spartak Moscow",7,0,4.2,0.6,"H"
2017-12-06,"20:45","Group stage","Red Bull Arena","2017/2018","RB Leipzig de","tr Beşiktaş",1,2,3,1.8,"A"
2017-12-06,"20:45","Group stage","Stadion Feijenoord","2017/2018","Feyenoord nl","it Napoli",2,1,0.7,1.3,"H"
2017-12-06,"20:45","Group stage","Ljudski vrt","2017/2018","NK Maribor si","es Sevilla",1,1,0.8,1.7,"D"
2017-12-06,"20:45","Group stage","Estadio Santiago Bernabéu","2017/2018","Real Madrid es","de Dortmund",3,2,2.7,1.7,"H"
2017-12-06,"21:45","Group stage","Oblasny SportKomplex Metalist","2017/2018","Shakhtar ua","eng Manchester City",2,1,1.7,1.7,"H"
2018-02-13,"20:45","Round of 16","St. Jakob-Park","2017/2018","Basel ch","eng Manchester City",0,4,1,0.7,"A"
2018-02-13,"20:45","Round of 16","Allianz Stadium","2017/2018","Juventus it","eng Tottenham",2,2,2.5,1.8,"D"
2018-02-14,"19:45","Round of 16","Estádio Do Dragão","2017/2018","Porto pt","eng Liverpool",0,5,0.5,2.6,"A"
2018-02-14,"20:45","Round of 16","Estadio Ramón Sánchez Pizjuán","2017/2018","Real Madrid es","fr Paris S-G",3,1,2.4,1,"H"
2018-02-20,"19:45","Round of 16","Stamford Bridge","2017/2018","Chelsea eng","es Barcelona",1,1,0.5,0.6,"D"
2018-02-20,"20:45","Round of 16","Allianz Arena","2017/2018","Bayern Munich de","tr Beşiktaş",5,0,4.9,0.3,"H"
2018-02-21,"20:45","Round of 16","Estadio Ramón Sánchez Pizjuán","2017/2018","Sevilla es","eng Manchester Utd",0,0,2,0.7,"D"
2018-02-21,"21:45","Round of 16","Oblasny SportKomplex Metalist","2017/2018","Shakhtar ua","it Roma",2,1,1.7,1.8,"H"
2018-03-06,"19:45","Round of 16","Anfield","2017/2018","Liverpool eng","pt Porto",0,0,1.6,0.6,"D"
2018-03-06,"20:45","Round of 16","Parc des Princes","2017/2018","Paris S-G fr","es Real Madrid",1,2,1.1,2.2,"A"
2018-03-07,"19:45","Round of 16","Wembley Stadium","2017/2018","Tottenham eng","it Juventus",1,2,1.7,1.5,"A"
2018-03-07,"19:45","Round of 16","Etihad Stadium","2017/2018","Manchester City eng","ch Basel",1,2,1.6,0.6,"A"
2018-03-13,"19:45","Round of 16","Old Trafford","2017/2018","Manchester Utd eng","es Sevilla",1,2,1.9,1.7,"A"
2018-03-13,"20:45","Round of 16","Stadio Olimpico","2017/2018","Roma it","ua Shakhtar",1,0,0.7,0.2,"H"
2018-03-14,"20:00","Round of 16","Vodafone Arena","2017/2018","Beşiktaş tr","de Bayern Munich",1,3,1.2,2.1,"A"
2018-03-14,"20:45","Round of 16","Camp Nou","2017/2018","Barcelona es","eng Chelsea",3,0,1,0.7,"H"
2018-04-03,"20:45","Quarter-finals","Estadio Ramón Sánchez Pizjuán","2017/2018","Sevilla es","de Bayern Munich",1,2,0.9,1.4,"A"
2018-04-03,"20:45","Quarter-finals","Allianz Stadium","2017/2018","Juventus it","es Real Madrid",0,3,1.6,3.1,"A"
2018-04-04,"19:45","Quarter-finals","Anfield","2017/2018","Liverpool eng","eng Manchester City",3,0,1.6,0.6,"H"
2018-04-04,"20:45","Quarter-finals","Camp Nou","2017/2018","Barcelona es","it Roma",4,1,1.9,1.7,"H"
2018-04-10,"19:45","Quarter-finals","Etihad Stadium","2017/2018","Manchester City eng","eng Liverpool",1,2,1.2,0.8,"A"
2018-04-10,"20:45","Quarter-finals","Stadio Olimpico","2017/2018","Roma it","es Barcelona",3,0,2.7,0.9,"H"
2018-04-11,"20:45","Quarter-finals","Allianz Arena","2017/2018","Bayern Munich de","es Sevilla",0,0,1.2,0.6,"D"
2018-04-11,"20:45","Quarter-finals","Estadio Santiago Bernabéu","2017/2018","Real Madrid es","it Juventus",1,3,2.7,2.7,"A"
2018-04-24,"19:45","Semi-finals","Anfield","2017/2018","Liverpool eng","it Roma",5,2,3.7,1.9,"H"
2018-04-25,"20:45","Semi-finals","Allianz Arena","2017/2018","Bayern Munich de","es Real Madrid",1,2,1.9,0.7,"A"
2018-05-01,"20:45","Semi-finals","Estadio Santiago Bernabéu","2017/2018","Real Madrid es","de Bayern Munich",2,2,1.8,3,"D"
2018-05-02,"20:45","Semi-finals","Stadio Olimpico","2017/2018","Roma it","eng Liverpool",4,2,2.4,1.6,"H"
2018-05-26,"21:45","Final","NSK Olimpijs'kyj (Neutral Site)","2017/2018","Real Madrid es","eng Liverpool",3,1,1.5,1.9,"H"
2018-09-18,"18:55","Group stage","Camp Nou","2018/2019","Barcelona es","nl PSV Eindhoven",4,0,1.5,0.7,"H"
2018-09-18,"18:55","Group stage","Stadio Giuseppe Meazza","2018/2019","Inter it","eng Tottenham",2,1,1.2,0.8,"H"
2018-09-18,"20:00","Group stage","Anfield","2018/2019","Liverpool eng","fr Paris S-G",3,2,2.3,0.8,"H"
2018-09-18,"21:00","Group stage","Stadion Rajko Mitić","2018/2019","Red Star rs","it Napoli",0,0,0.2,1.6,"D"
2018-09-18,"21:00","Group stage","Jan Breydelstadion","2018/2019","Club Brugge be","de Dortmund",0,1,0.6,1,"A"
2018-09-18,"21:00","Group stage","Stade Louis II","2018/2019","Monaco fr","es Atlético Madrid",1,2,0.7,0.9,"A"
2018-09-18,"21:00","Group stage","Veltins-Arena","2018/2019","Schalke 04 de","pt Porto",1,1,0.9,2.2,"D"
2018-09-18,"22:00","Group stage","Türk Telekom Arena","2018/2019","Galatasaray tr","ru Loko Moscow",3,0,1.8,0.9,"H"
2018-09-19,"18:55","Group stage","Johan Cruyff ArenA","2018/2019","Ajax nl","gr AEK Athens",3,0,1.7,0.4,"H"
2018-09-19,"19:55","Group stage","Oblasny SportKomplex Metalist","2018/2019","Shakhtar ua","de Hoffenheim",2,2,0.6,1.8,"D"
2018-09-19,"20:00","Group stage","Etihad Stadium","2018/2019","Manchester City eng","fr Lyon",1,2,1.2,0.8,"A"
2018-09-19,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2018/2019","Benfica pt","de Bayern Munich",0,2,0.7,2.4,"A"
2018-09-19,"21:00","Group stage","Estadio de Mestalla","2018/2019","Valencia es","it Juventus",0,2,2,3.7,"A"
2018-09-19,"21:00","Group stage","Estadio Santiago Bernabéu","2018/2019","Real Madrid es","it Roma",3,0,3.5,0.6,"H"
2018-09-19,"21:00","Group stage","Stade de Suisse Wankdorf Bern","2018/2019","Young Boys ch","eng Manchester Utd",0,3,1.7,2,"A"
2018-09-19,"21:00","Group stage","Doosan Arena","2018/2019","Viktoria Plzeň cz","ru CSKA Moscow",2,2,1.5,1.7,"D"
2018-10-02,"18:55","Group stage","PreZero Arena","2018/2019","Hoffenheim de","eng Manchester City",1,2,0.6,2.2,"A"
2018-10-02,"18:55","Group stage","Allianz Stadium","2018/2019","Juventus it","ch Young Boys",3,0,3.3,0.2,"H"
2018-10-02,"20:00","Group stage","Old Trafford","2018/2019","Manchester Utd eng","es Valencia",0,0,0.9,0.4,"D"
2018-10-02,"21:00","Group stage","Allianz Arena","2018/2019","Bayern Munich de","nl Ajax",1,1,1.5,1.2,"D"
2018-10-02,"21:00","Group stage","Groupama Stadium","2018/2019","Lyon fr","ua Shakhtar",2,2,2.8,1.6,"D"
2018-10-02,"21:00","Group stage","Stadio Olimpico","2018/2019","Roma it","cz Viktoria Plzeň",5,0,3.1,0.3,"H"
2018-10-02,"22:00","Group stage","VEB Arena","2018/2019","CSKA Moscow ru","es Real Madrid",1,0,0.4,2.2,"H"
2018-10-02,"22:00","Group stage","Olympiako Stadio Spyros Louis","2018/2019","AEK Athens gr","pt Benfica",2,3,2.8,1.2,"A"
2018-10-03,"18:55","Group stage","Parc des Princes","2018/2019","Paris S-G fr","rs Red Star",6,1,5.4,0.3,"H"
2018-10-03,"19:55","Group stage","RZD Arena","2018/2019","Loko Moscow ru","de Schalke 04",0,1,0.7,1,"A"
2018-10-03,"20:00","Group stage","Estádio Do Dragão","2018/2019","Porto pt","tr Galatasaray",1,0,1.8,1.5,"H"
2018-10-03,"20:00","Group stage","Wembley Stadium","2018/2019","Tottenham eng","es Barcelona",2,4,0.5,1.4,"A"
2018-10-03,"21:00","Group stage","Signal Iduna Park","2018/2019","Dortmund de","fr Monaco",3,0,3.2,0.5,"H"
2018-10-03,"21:00","Group stage","Philips Stadion","2018/2019","PSV Eindhoven nl","it Inter",1,2,0.7,2.6,"A"
2018-10-03,"21:00","Group stage","Stadio San Paolo","2018/2019","Napoli it","eng Liverpool",1,0,1.9,0.1,"H"
2018-10-03,"21:00","Group stage","Estadio Wanda Metropolitano","2018/2019","Atlético Madrid es","be Club Brugge",3,1,1.8,0.6,"H"
2018-10-23,"18:55","Group stage","Stade de Suisse Wankdorf Bern","2018/2019","Young Boys ch","es Valencia",1,1,1.9,0.9,"D"
2018-10-23,"19:55","Group stage","Olympiako Stadio Spyros Louis","2018/2019","AEK Athens gr","de Bayern Munich",0,2,0.3,2.3,"A"
2018-10-23,"20:00","Group stage","Old Trafford","2018/2019","Manchester Utd eng","it Juventus",0,1,0.3,1.3,"A"
2018-10-23,"21:00","Group stage","Estadio Santiago Bernabéu","2018/2019","Real Madrid es","cz Viktoria Plzeň",2,1,2.6,1.6,"H"
2018-10-23,"21:00","Group stage","Stadio Olimpico","2018/2019","Roma it","ru CSKA Moscow",3,0,2.3,0.5,"H"
2018-10-23,"21:00","Group stage","PreZero Arena","2018/2019","Hoffenheim de","fr Lyon",3,3,4.1,1.5,"D"
2018-10-23,"21:00","Group stage","Johan Cruyff ArenA","2018/2019","Ajax nl","pt Benfica",1,0,1.5,0.7,"H"
2018-10-23,"22:00","Group stage","Oblasny SportKomplex Metalist","2018/2019","Shakhtar ua","eng Manchester City",0,3,1.1,2.6,"A"
2018-10-24,"18:55","Group stage","Jan Breydelstadion","2018/2019","Club Brugge be","fr Monaco",1,1,1.5,0.8,"D"
2018-10-24,"18:55","Group stage","Philips Stadion","2018/2019","PSV Eindhoven nl","eng Tottenham",2,2,0.9,2,"D"
2018-10-24,"20:00","Group stage","Anfield","2018/2019","Liverpool eng","rs Red Star",4,0,5,0.5,"H"
2018-10-24,"21:00","Group stage","Camp Nou","2018/2019","Barcelona es","it Inter",2,0,2.2,1,"H"
2018-10-24,"21:00","Group stage","Parc des Princes","2018/2019","Paris S-G fr","it Napoli",2,2,1.1,1.7,"D"
2018-10-24,"21:00","Group stage","Signal Iduna Park","2018/2019","Dortmund de","es Atlético Madrid",4,0,2,0.6,"H"
2018-10-24,"22:00","Group stage","RZD Arena","2018/2019","Loko Moscow ru","pt Porto",1,3,2.1,1.5,"A"
2018-10-24,"22:00","Group stage","Türk Telekom Arena","2018/2019","Galatasaray tr","de Schalke 04",0,0,0.6,2.2,"D"
2018-11-06,"18:55","Group stage","Stadion Rajko Mitić","2018/2019","Red Star rs","eng Liverpool",2,0,0.7,2.2,"H"
2018-11-06,"18:55","Group stage","Stade Louis II","2018/2019","Monaco fr","be Club Brugge",0,4,1.1,1.9,"A"
2018-11-06,"20:00","Group stage","Estádio Do Dragão","2018/2019","Porto pt","ru Loko Moscow",4,1,1.4,0.7,"H"
2018-11-06,"20:00","Group stage","Wembley Stadium","2018/2019","Tottenham eng","nl PSV Eindhoven",2,1,3.5,0.6,"H"
2018-11-06,"21:00","Group stage","Stadio San Paolo","2018/2019","Napoli it","fr Paris S-G",1,1,2,1.3,"D"
2018-11-06,"21:00","Group stage","Veltins-Arena","2018/2019","Schalke 04 de","tr Galatasaray",2,0,1.5,0.7,"H"
2018-11-06,"21:00","Group stage","Estadio Wanda Metropolitano","2018/2019","Atlético Madrid es","de Dortmund",2,0,1.5,0.6,"H"
2018-11-06,"21:00","Group stage","Stadio Giuseppe Meazza","2018/2019","Inter it","es Barcelona",1,1,1,1.6,"D"
2018-11-07,"18:55","Group stage","Estadio de Mestalla","2018/2019","Valencia es","ch Young Boys",3,1,1.8,1,"H"
2018-11-07,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2018/2019","Benfica pt","nl Ajax",1,1,1.4,1.6,"D"
2018-11-07,"20:00","Group stage","Etihad Stadium","2018/2019","Manchester City eng","ua Shakhtar",6,0,3.4,0.4,"H"
2018-11-07,"20:55","Group stage","VEB Arena","2018/2019","CSKA Moscow ru","it Roma",1,2,1.1,2.4,"A"
2018-11-07,"21:00","Group stage","Doosan Arena","2018/2019","Viktoria Plzeň cz","es Real Madrid",0,5,0.5,1.6,"A"
2018-11-07,"21:00","Group stage","Allianz Arena","2018/2019","Bayern Munich de","gr AEK Athens",2,0,2.7,0.4,"H"
2018-11-07,"21:00","Group stage","Groupama Stadium","2018/2019","Lyon fr","de Hoffenheim",2,2,2.5,1.9,"D"
2018-11-07,"21:00","Group stage","Allianz Stadium","2018/2019","Juventus it","eng Manchester Utd",1,2,1.9,0.8,"A"
2018-11-27,"19:55","Group stage","Olympiako Stadio Spyros Louis","2018/2019","AEK Athens gr","nl Ajax",0,2,0.4,2.2,"A"
2018-11-27,"20:00","Group stage","Old Trafford","2018/2019","Manchester Utd eng","ch Young Boys",1,0,1.3,0.6,"H"
2018-11-27,"20:55","Group stage","VEB Arena","2018/2019","CSKA Moscow ru","cz Viktoria Plzeň",1,2,2.2,2,"A"
2018-11-27,"21:00","Group stage","Stadio Olimpico","2018/2019","Roma it","es Real Madrid",0,2,2.1,1.7,"A"
2018-11-27,"21:00","Group stage","Allianz Stadium","2018/2019","Juventus it","es Valencia",1,0,1.8,0.3,"H"
2018-11-27,"21:00","Group stage","Groupama Stadium","2018/2019","Lyon fr","eng Manchester City",2,2,2.3,1,"D"
2018-11-27,"21:00","Group stage","PreZero Arena","2018/2019","Hoffenheim de","ua Shakhtar",2,3,1.3,2.1,"A"
2018-11-27,"21:00","Group stage","Allianz Arena","2018/2019","Bayern Munich de","pt Benfica",5,1,1.9,0.5,"H"
2018-11-28,"18:55","Group stage","Estadio Wanda Metropolitano","2018/2019","Atlético Madrid es","fr Monaco",2,0,0.9,1.3,"H"
2018-11-28,"20:00","Group stage","Wembley Stadium","2018/2019","Tottenham eng","it Inter",1,0,1.3,1,"H"
2018-11-28,"20:00","Group stage","Estádio Do Dragão","2018/2019","Porto pt","de Schalke 04",3,1,1.6,0.9,"H"
2018-11-28,"20:55","Group stage","RZD Arena","2018/2019","Loko Moscow ru","tr Galatasaray",2,0,1.4,1.3,"H"
2018-11-28,"21:00","Group stage","Parc des Princes","2018/2019","Paris S-G fr","eng Liverpool",2,1,1.5,1.3,"H"
2018-11-28,"21:00","Group stage","Signal Iduna Park","2018/2019","Dortmund de","be Club Brugge",0,0,1.2,0.3,"D"
2018-11-28,"21:00","Group stage","Stadio San Paolo","2018/2019","Napoli it","rs Red Star",3,1,2.4,0.8,"H"
2018-11-28,"21:00","Group stage","Philips Stadion","2018/2019","PSV Eindhoven nl","es Barcelona",1,2,3,2.4,"A"
2018-12-11,"18:55","Group stage","Veltins-Arena","2018/2019","Schalke 04 de","ru Loko Moscow",1,0,2.1,0.7,"H"
2018-12-11,"20:00","Group stage","Anfield","2018/2019","Liverpool eng","it Napoli",1,0,3,1.2,"H"
2018-12-11,"20:55","Group stage","Türk Telekom Arena","2018/2019","Galatasaray tr","pt Porto",2,3,3.9,1.7,"A"
2018-12-11,"21:00","Group stage","Stadion Rajko Mitić","2018/2019","Red Star rs","fr Paris S-G",1,4,0.4,2.9,"A"
2018-12-11,"21:00","Group stage","Stade Louis II","2018/2019","Monaco fr","de Dortmund",0,2,0.6,2.6,"A"
2018-12-11,"21:00","Group stage","Jan Breydelstadion","2018/2019","Club Brugge be","es Atlético Madrid",0,0,0.6,0.4,"D"
2018-12-11,"21:00","Group stage","Camp Nou","2018/2019","Barcelona es","eng Tottenham",1,1,1.3,2.4,"D"
2018-12-11,"21:00","Group stage","Stadio Giuseppe Meazza","2018/2019","Inter it","nl PSV Eindhoven",1,1,1.9,1.2,"D"
2018-12-12,"18:55","Group stage","Doosan Arena","2018/2019","Viktoria Plzeň cz","it Roma",2,1,2,1.1,"H"
2018-12-12,"18:55","Group stage","Estadio Santiago Bernabéu","2018/2019","Real Madrid es","ru CSKA Moscow",0,3,1.3,0.9,"A"
2018-12-12,"20:00","Group stage","Etihad Stadium","2018/2019","Manchester City eng","de Hoffenheim",2,1,3.4,1.4,"H"
2018-12-12,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2018/2019","Benfica pt","gr AEK Athens",1,0,1.8,0.4,"H"
2018-12-12,"21:00","Group stage","Estadio de Mestalla","2018/2019","Valencia es","eng Manchester Utd",2,1,1.4,1.8,"H"
2018-12-12,"21:00","Group stage","Stade de Suisse Wankdorf Bern","2018/2019","Young Boys ch","it Juventus",2,1,1.2,2.1,"H"
2018-12-12,"21:00","Group stage","Johan Cruyff ArenA","2018/2019","Ajax nl","de Bayern Munich",3,3,3,3.1,"D"
2018-12-12,"22:00","Group stage","NSK Olimpijs'kyj","2018/2019","Shakhtar ua","fr Lyon",1,1,1.1,1.3,"D"
2019-02-12,"20:00","Round of 16","Old Trafford","2018/2019","Manchester Utd eng","fr Paris S-G",0,2,0.4,2.5,"A"
2019-02-12,"21:00","Round of 16","Stadio Olimpico","2018/2019","Roma it","pt Porto",2,1,1.5,0.6,"H"
2019-02-13,"20:00","Round of 16","Wembley Stadium","2018/2019","Tottenham eng","de Dortmund",3,0,1.8,0.3,"H"
2019-02-13,"21:00","Round of 16","Johan Cruyff ArenA","2018/2019","Ajax nl","es Real Madrid",1,2,2.2,1.5,"A"
2019-02-19,"20:00","Round of 16","Anfield","2018/2019","Liverpool eng","de Bayern Munich",0,0,2.1,0.4,"D"
2019-02-19,"21:00","Round of 16","Groupama Stadium","2018/2019","Lyon fr","es Barcelona",0,0,0.3,2.1,"D"
2019-02-20,"21:00","Round of 16","Veltins-Arena","2018/2019","Schalke 04 de","eng Manchester City",2,3,1.8,1.6,"A"
2019-02-20,"21:00","Round of 16","Estadio Wanda Metropolitano","2018/2019","Atlético Madrid es","it Juventus",2,0,1.4,0.7,"H"
2019-03-05,"21:00","Round of 16","Estadio Santiago Bernabéu","2018/2019","Real Madrid es","nl Ajax",1,4,2.5,2.6,"A"
2019-03-05,"21:00","Round of 16","Signal Iduna Park","2018/2019","Dortmund de","eng Tottenham",0,1,1.4,1,"A"
2019-03-06,"20:00","Round of 16","Estádio Do Dragão","2018/2019","Porto pt","it Roma",3,1,4.2,1.9,"H"
2019-03-06,"21:00","Round of 16","Parc des Princes","2018/2019","Paris S-G fr","eng Manchester Utd",1,3,1.4,2.1,"A"
2019-03-12,"20:00","Round of 16","Etihad Stadium","2018/2019","Manchester City eng","de Schalke 04",7,0,3.7,0.1,"H"
2019-03-12,"21:00","Round of 16","Allianz Stadium","2018/2019","Juventus it","es Atlético Madrid",3,0,2.5,0.4,"H"
2019-03-13,"21:00","Round of 16","Camp Nou","2018/2019","Barcelona es","fr Lyon",5,1,4.3,0.6,"H"
2019-03-13,"21:00","Round of 16","Allianz Arena","2018/2019","Bayern Munich de","eng Liverpool",1,3,0.3,1.1,"A"
2019-04-09,"20:00","Quarter-finals","Anfield","2018/2019","Liverpool eng","pt Porto",2,0,2.3,0.8,"H"
2019-04-09,"20:00","Quarter-finals","Tottenham Hotspur Stadium","2018/2019","Tottenham eng","eng Manchester City",1,0,0.9,1.3,"H"
2019-04-10,"20:00","Quarter-finals","Old Trafford","2018/2019","Manchester Utd eng","es Barcelona",0,1,0.5,1.1,"A"
2019-04-10,"21:00","Quarter-finals","Johan Cruyff ArenA","2018/2019","Ajax nl","it Juventus",1,1,1.2,0.7,"D"
2019-04-16,"21:00","Quarter-finals","Allianz Stadium","2018/2019","Juventus it","nl Ajax",1,2,0.8,2.2,"A"
2019-04-16,"21:00","Quarter-finals","Camp Nou","2018/2019","Barcelona es","eng Manchester Utd",3,0,1.4,0.4,"H"
2019-04-17,"20:00","Quarter-finals","Estádio Do Dragão","2018/2019","Porto pt","eng Liverpool",1,4,1,3.5,"A"
2019-04-17,"20:00","Quarter-finals","Etihad Stadium","2018/2019","Manchester City eng","eng Tottenham",4,3,2.5,0.7,"H"
2019-04-30,"20:00","Semi-finals","Tottenham Hotspur Stadium","2018/2019","Tottenham eng","nl Ajax",0,1,0.6,1.3,"A"
2019-05-01,"21:00","Semi-finals","Camp Nou","2018/2019","Barcelona es","eng Liverpool",3,0,2.4,1.8,"H"
2019-05-07,"20:00","Semi-finals","Anfield","2018/2019","Liverpool eng","es Barcelona",4,0,2.3,1.4,"H"
2019-05-08,"21:00","Semi-finals","Johan Cruyff ArenA","2018/2019","Ajax nl","eng Tottenham",2,3,1.6,4.2,"A"
2019-06-01,"21:00","Final","Estadio Wanda Metropolitano (Neutral Site)","2018/2019","Tottenham eng","eng Liverpool",0,2,0.8,1.3,"A"
2019-09-17,"18:55","Group stage","Groupama Stadium","2019/2020","Lyon fr","ru Zenit",1,1,1.6,1,"D"
2019-09-17,"18:55","Group stage","Stadio Giuseppe Meazza","2019/2020","Inter it","cz Slavia Prague",1,1,1.4,1,"D"
2019-09-17,"20:00","Group stage","Stamford Bridge","2019/2020","Chelsea eng","es Valencia",0,1,2.8,1,"A"
2019-09-17,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2019/2020","Benfica pt","de RB Leipzig",1,2,1.8,1,"A"
2019-09-17,"21:00","Group stage","Signal Iduna Park","2019/2020","Dortmund de","es Barcelona",0,0,3.4,0.4,"D"
2019-09-17,"21:00","Group stage","Red Bull Arena","2019/2020","RB Salzburg at","be Genk",6,2,4.3,0.7,"H"
2019-09-17,"21:00","Group stage","Johan Cruyff ArenA","2019/2020","Ajax nl","fr Lille",3,0,1.5,2,"H"
2019-09-17,"21:00","Group stage","Stadio San Paolo","2019/2020","Napoli it","eng Liverpool",2,0,1.8,0.7,"H"
2019-09-18,"18:55","Group stage","Jan Breydelstadion","2019/2020","Club Brugge be","tr Galatasaray",0,0,1.7,0.6,"D"
2019-09-18,"19:55","Group stage","Stadio Georgios Karaiskáki","2019/2020","Olympiacos gr","eng Tottenham",2,2,1.7,1.7,"D"
2019-09-18,"21:00","Group stage","Estadio Wanda Metropolitano","2019/2020","Atlético Madrid es","it Juventus",2,2,2.3,1.1,"D"
2019-09-18,"21:00","Group stage","Parc des Princes","2019/2020","Paris S-G fr","es Real Madrid",3,0,1.7,0.6,"H"
2019-09-18,"21:00","Group stage","Allianz Arena","2019/2020","Bayern Munich de","rs Red Star",3,0,4.3,0.3,"H"
2019-09-18,"21:00","Group stage","Stadion Maksimir","2019/2020","Dinamo Zagreb hr","it Atalanta",4,0,2.7,1.8,"H"
2019-09-18,"21:00","Group stage","BayArena","2019/2020","Leverkusen de","ru Loko Moscow",1,2,1.5,0.9,"A"
2019-09-18,"22:00","Group stage","Oblasny SportKomplex Metalist","2019/2020","Shakhtar ua","eng Manchester City",0,3,0.9,2.5,"A"
2019-10-01,"18:55","Group stage","Stadio Giuseppe Meazza","2019/2020","Atalanta it","ua Shakhtar",1,2,2.5,1.5,"A"
2019-10-01,"18:55","Group stage","Estadio Santiago Bernabéu","2019/2020","Real Madrid es","be Club Brugge",2,2,2.3,1.4,"D"
2019-10-01,"20:00","Group stage","Etihad Stadium","2019/2020","Manchester City eng","hr Dinamo Zagreb",2,0,3.6,0.1,"H"
2019-10-01,"20:00","Group stage","Tottenham Hotspur Stadium","2019/2020","Tottenham eng","de Bayern Munich",2,7,1.9,1.3,"A"
2019-10-01,"21:00","Group stage","Allianz Stadium","2019/2020","Juventus it","de Leverkusen",3,0,1.2,0.5,"H"
2019-10-01,"21:00","Group stage","Stadion Rajko Mitić","2019/2020","Red Star rs","gr Olympiacos",3,1,1.3,0.9,"H"
2019-10-01,"22:00","Group stage","RZD Arena","2019/2020","Loko Moscow ru","es Atlético Madrid",0,2,1.1,2.9,"A"
2019-10-01,"22:00","Group stage","Türk Telekom Arena","2019/2020","Galatasaray tr","fr Paris S-G",0,1,0.5,2.6,"A"
2019-10-02,"18:55","Group stage","Luminus Arena","2019/2020","Genk be","it Napoli",0,0,0.7,3.2,"D"
2019-10-02,"18:55","Group stage","Sinobo Stadium","2019/2020","Slavia Prague cz","de Dortmund",0,2,1.4,0.8,"A"
2019-10-02,"20:00","Group stage","Anfield","2019/2020","Liverpool eng","at RB Salzburg",4,3,2.5,1.6,"H"
2019-10-02,"21:00","Group stage","Camp Nou","2019/2020","Barcelona es","it Inter",2,1,1.5,1.1,"H"
2019-10-02,"21:00","Group stage","Red Bull Arena","2019/2020","RB Leipzig de","fr Lyon",0,2,1.9,1.5,"A"
2019-10-02,"21:00","Group stage","Stade Pierre-Mauroy","2019/2020","Lille fr","eng Chelsea",1,2,0.6,1.4,"A"
2019-10-02,"21:00","Group stage","Estadio de Mestalla","2019/2020","Valencia es","nl Ajax",0,3,2,1.7,"A"
2019-10-02,"22:00","Group stage","Gazprom Arena","2019/2020","Zenit ru","pt Benfica",3,1,2.1,1.2,"H"
2019-10-22,"18:55","Group stage","Estadio Wanda Metropolitano","2019/2020","Atlético Madrid es","de Leverkusen",1,0,0.8,0.5,"H"
2019-10-22,"19:55","Group stage","Oblasny SportKomplex Metalist","2019/2020","Shakhtar ua","hr Dinamo Zagreb",2,2,1.5,2.1,"D"
2019-10-22,"20:00","Group stage","Tottenham Hotspur Stadium","2019/2020","Tottenham eng","rs Red Star",5,0,3.7,0.6,"H"
2019-10-22,"20:00","Group stage","Etihad Stadium","2019/2020","Manchester City eng","it Atalanta",5,1,4.2,1.8,"H"
2019-10-22,"21:00","Group stage","Jan Breydelstadion","2019/2020","Club Brugge be","fr Paris S-G",0,5,0.3,3.5,"A"
2019-10-22,"21:00","Group stage","Allianz Stadium","2019/2020","Juventus it","ru Loko Moscow",2,1,2.4,0.7,"H"
2019-10-22,"22:00","Group stage","Stadio Georgios Karaiskáki","2019/2020","Olympiacos gr","de Bayern Munich",2,3,0.5,2.6,"A"
2019-10-22,"22:00","Group stage","Türk Telekom Arena","2019/2020","Galatasaray tr","es Real Madrid",0,1,1.2,2.4,"A"
2019-10-23,"18:55","Group stage","Red Bull Arena","2019/2020","RB Leipzig de","ru Zenit",2,1,2.2,0.7,"H"
2019-10-23,"18:55","Group stage","Johan Cruyff ArenA","2019/2020","Ajax nl","eng Chelsea",0,1,0.5,1.6,"A"
2019-10-23,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2019/2020","Benfica pt","fr Lyon",2,1,0.5,1.5,"H"
2019-10-23,"21:00","Group stage","Stadio Giuseppe Meazza","2019/2020","Inter it","de Dortmund",2,0,2.1,0.4,"H"
2019-10-23,"21:00","Group stage","Red Bull Arena","2019/2020","RB Salzburg at","it Napoli",2,3,2.7,0.9,"A"
2019-10-23,"21:00","Group stage","Stade Pierre-Mauroy","2019/2020","Lille fr","es Valencia",1,1,1.9,0.6,"D"
2019-10-23,"21:00","Group stage","Luminus Arena","2019/2020","Genk be","eng Liverpool",1,4,1.3,2.5,"A"
2019-10-23,"21:00","Group stage","Sinobo Stadium","2019/2020","Slavia Prague cz","es Barcelona",1,2,1.5,2.5,"A"
2019-11-05,"18:55","Group stage","Camp Nou","2019/2020","Barcelona es","cz Slavia Prague",0,0,2.3,0.3,"D"
2019-11-05,"20:00","Group stage","Anfield","2019/2020","Liverpool eng","be Genk",2,1,2.3,0.7,"H"
