Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Team,2024-07-10,19:00 (22:30),First qualifying round,Wed,Home,W,4,2
110,12,Koke,es ESP,MF,32.0,7.0,4.0,403.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,3.0,33.0,4.0,Atletico Madrid,,,,,,,,
111,13,Nahuel Molina,ar ARG,DF,26.0,8.0,3.0,429.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,8.0,12.0,19.0,Atletico Madrid,,,,,,,,
112,14,Reinildo Mandava,mz MOZ,DF,30.0,6.0,3.0,367.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,9.0,Atletico Madrid,,,,,,,,
113,15,Axel Witsel,be BEL,DF,35.0,4.0,3.0,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Atletico Madrid,,,,,,,,
114,16,Alexander Sørloth,no NOR,FW,28.0,8.0,2.0,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.1,2.3,5.0,9.0,20.0,Atletico Madrid,,,,,,,,
115,17,Ángel Correa,ar ARG,"MF,FW",29.0,8.0,2.0,269.0,3.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,0.8,2.5,14.0,9.0,14.0,Atletico Madrid,,,,,,,,
116,18,Robin Le Normand,es ESP,DF,27.0,5.0,2.0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,Atletico Madrid,,,,,,,,
117,19,Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.0,1.0,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,11.0,8.0,22.0,Atletico Madrid,,,,,,,,
118,20,César Azpilicueta,es ESP,DF,34.0,2.0,1.0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,4.0,1.0,Atletico Madrid,,,,,,,,
119,21,Javier Serrano,es ESP,MF,21.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Atletico Madrid,,,,,,,,
120,22,Thomas Lemar,fr FRA,FW,28.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,Atletico Madrid,,,,,,,,
121,23,Rayane Belaid,es ESP,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atletico Madrid,,,,,,,,
122,24,Aitor Gismera,es ESP,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atletico Madrid,,,,,,,,
123,25,Antonio Gomis,es ESP,GK,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atletico Madrid,,,,,,,,
124,26,Ilias Kostis,gr GRE,DF,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atletico Madrid,,,,,,,,
125,27,Juan Musso,ar ARG,GK,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atletico Madrid,,,,,,,,
126,28,Gerónimo Spina,ar ARG,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atletico Madrid,,,,,,,,
127,0,Raphinha,br BRA,"FW,MF",27.0,14.0,14.0,1222.0,13.6,13.0,8.0,21.0,13.0,0.0,0.0,0.0,0.0,5.9,5.9,7.4,13.2,46.0,58.0,145.0,Barcelona,,,,,,,,
128,1,Pedri,es ESP,MF,21.0,14.0,13.0,1109.0,12.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.1,2.5,31.0,114.0,42.0,Barcelona,,,,,,,,
129,2,Jules Koundé,fr FRA,DF,25.0,13.0,13.0,1104.0,12.3,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,2.2,2.8,21.0,47.0,66.0,Barcelona,,,,,,,,
130,3,Lamine Yamal,es ESP,FW,17.0,13.0,13.0,1094.0,12.2,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,4.2,4.2,2.1,6.3,74.0,62.0,152.0,Barcelona,,,,,,,,
131,4,Pau Cubarsí,es ESP,DF,17.0,13.0,12.0,977.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,1.0,1.2,7.0,74.0,2.0,Barcelona,,,,,,,,
132,5,Robert Lewandowski,pl POL,FW,35.0,13.0,12.0,975.0,10.8,11.0,0.0,11.0,8.0,3.0,3.0,0.0,0.0,10.4,8.0,1.5,9.6,10.0,27.0,52.0,Barcelona,,,,,,,,
133,6,Iñigo Martínez,es ESP,DF,33.0,11.0,11.0,954.0,10.6,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.7,0.7,1.0,1.7,15.0,80.0,7.0,Barcelona,,,,,,,,
134,7,Alejandro Balde,es ESP,DF,20.0,10.0,9.0,803.0,8.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,28.0,24.0,63.0,Barcelona,,,,,,,,
135,8,Frenkie de Jong,nl NED,MF,27.0,13.0,8.0,804.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.1,14.0,76.0,16.0,Barcelona,,,,,,,,
136,9,Wojciech Szczęsny,pl POL,GK,34.0,8.0,8.0,750.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,,,,,,,,
137,10,Marc Casado,es ESP,MF,20.0,10.0,7.0,633.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.8,6.0,47.0,11.0,Barcelona,,,,,,,,
138,11,Dani Olmo,es ESP,MF,26.0,9.0,6.0,435.0,4.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,1.0,3.2,12.0,33.0,36.0,Barcelona,,,,,,,,
139,12,Iñaki Peña,es ESP,GK,25.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,,,,,,,,
140,13,Gerard Martín,es ESP,DF,22.0,8.0,5.0,446.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,6.0,18.0,42.0,Barcelona,,,,,,,,
141,14,Ronald Araújo,uy URU,DF,25.0,8.0,4.0,523.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,10.0,0.0,Barcelona,,,,,,,,
142,15,Fermin López,es ESP,"MF,FW",21.0,11.0,4.0,453.0,5.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,1.9,3.7,11.0,15.0,39.0,Barcelona,,,,,,,,
143,16,Ferrán Torres,es ESP,FW,24.0,11.0,3.0,426.0,4.7,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.1,3.1,0.5,3.6,2.0,8.0,31.0,Barcelona,,,,,,,,
144,17,Gavi,es ESP,MF,19.0,10.0,3.0,301.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.4,4.0,11.0,15.0,Barcelona,,,,,,,,
145,18,Eric García,es ESP,"DF,MF",23.0,9.0,3.0,276.0,3.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.1,1.1,0.3,1.3,2.0,22.0,6.0,Barcelona,,,,,,,,
146,19,Marc-André ter Stegen,de GER,GK,32.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,,,,,,,,
147,20,Pau Victor,es ESP,FW,22.0,6.0,0.0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,2.0,Barcelona,,,,,,,,
148,21,Héctor Fort,es ESP,DF,17.0,2.0,0.0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,Barcelona,,,,,,,,
149,22,Ansu Fati,es ESP,"FW,MF",21.0,4.0,0.0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,Barcelona,,,,,,,,
150,23,Sergi Dominguez,es ESP,"DF,FW",19.0,2.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Barcelona,,,,,,,,
151,24,Pablo Torre,es ESP,"FW,MF",21.0,2.0,0.0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,2.0,2.0,Barcelona,,,,,,,,
152,25,Andreas Christensen,dk DEN,DF,28.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Barcelona,,,,,,,,
153,26,Andres Cuenca,es ESP,DF,17.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,,,,,,,,
154,27,Ander Astralaga,es ESP,GK,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,
155,28,Noah Darvich,de GER,MF,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,
156,29,Landry Farré,es ESP,DF,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,
157,30,Guillermo Fernandez,es ESP,MF,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,
158,31,Toni Fernández,es ESP,MF,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,
159,32,Diego Kochen,us USA,GK,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,
160,33,Áron Yaakobishvili,hu HUN,GK,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,
161,0,Jonathan Tah,de GER,DF,28.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,6.0,30.0,2.0,Bayer Leverkusen,,,,,,,,
162,1,Álex Grimaldo,es ESP,"DF,FW",28.0,10.0,10.0,865.0,9.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.2,4.1,18.0,44.0,80.0,Bayer Leverkusen,,,,,,,,
163,2,Granit Xhaka,ch SUI,MF,31.0,10.0,9.0,818.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.7,1.2,10.0,75.0,12.0,Bayer Leverkusen,,,,,,,,
164,3,Jeremie Frimpong,nl NED,"DF,FW",23.0,10.0,9.0,793.0,8.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,2.5,3.6,42.0,14.0,81.0,Bayer Leverkusen,,,,,,,,
165,4,Piero Hincapié,ec ECU,DF,22.0,9.0,9.0,772.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.4,0.7,11.0,32.0,18.0,Bayer Leverkusen,,,,,,,,
166,5,Florian Wirtz,de GER,"MF,FW",21.0,9.0,9.0,759.0,8.4,6.0,1.0,7.0,5.0,1.0,1.0,2.0,0.0,3.6,2.8,2.2,5.1,28.0,53.0,74.0,Bayer Leverkusen,,,,,,,,
167,6,Exequiel Palacios,ar ARG,MF,25.0,10.0,8.0,662.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.1,8.0,53.0,22.0,Bayer Leverkusen,,,,,,,,
168,7,Edmond Tapsoba,bf BFA,DF,25.0,9.0,7.0,671.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,7.0,40.0,1.0,Bayer Leverkusen,,,,,,,,
169,8,Matej Kovar,cz CZE,GK,24.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayer Leverkusen,,,,,,,,
170,9,Nordi Mukiele,fr FRA,DF,26.0,5.0,5.0,358.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.1,0.5,13.0,20.0,14.0,Bayer Leverkusen,,,,,,,,
171,10,Patrik Schick,cz CZE,FW,28.0,8.0,4.0,408.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,0.2,2.4,6.0,3.0,23.0,Bayer Leverkusen,,,,,,,,
172,11,Aleix García,es ESP,MF,27.0,10.0,4.0,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,0.0,17.0,5.0,Bayer Leverkusen,,,,,,,,
173,12,Lukáš Hrádecký,fi FIN,GK,34.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayer Leverkusen,,,,,,,,
174,13,Nathan Tella,ng NGA,"FW,MF",25.0,7.0,4.0,328.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.5,1.7,13.0,8.0,34.0,Bayer Leverkusen,,,,,,,,
175,14,Victor Boniface,ng NGA,FW,23.0,4.0,3.0,240.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.1,1.9,11.0,6.0,17.0,Bayer Leverkusen,,,,,,,,
176,15,Robert Andrich,de GER,"MF,DF",29.0,7.0,2.0,276.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,2.0,8.0,3.0,Bayer Leverkusen,,,,,,,,
177,16,Amine Adli,ma MAR,"MF,FW",24.0,5.0,2.0,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,9.0,16.0,Bayer Leverkusen,,,,,,,,
178,17,Mario Hermoso,es ESP,DF,29.0,2.0,2.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bayer Leverkusen,,,,,,,,
179,18,Jonas Hofmann,de GER,"MF,FW",32.0,4.0,1.0,132.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,1.0,10.0,10.0,Bayer Leverkusen,,,,,,,,
180,19,Arthur,br BRA,"DF,MF",21.0,5.0,1.0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,2.0,9.0,Bayer Leverkusen,,,,,,,,
181,20,Martin Terrier,fr FRA,MF,27.0,4.0,1.0,105.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,1.0,3.0,Bayer Leverkusen,,,,,,,,
182,21,Artem Stepanov,ua UKR,FW,16.0,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Bayer Leverkusen,,,,,,,,
183,22,Francis Onyeka,de GER,FW,17.0,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Bayer Leverkusen,,,,,,,,
184,23,Jeanuël Belocian,fr FRA,DF,19.0,2.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,Bayer Leverkusen,,,,,,,,
185,24,Emi Buendía,ar ARG,MF,27.0,2.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Bayer Leverkusen,,,,,,,,
186,25,Kerim Alajbegović,ba BIH,FW,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,,,,,,,,
187,26,Ben Hawighorst,de GER,DF,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,,,,,,,,
188,27,Niklas Lomb,de GER,GK,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,,,,,,,,
189,0,Joshua Kimmich,de GER,"MF,DF",29.0,14.0,14.0,1260.0,14.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,3.9,4.8,28.0,138.0,48.0,Bayern Munich,,,,,,,,
190,1,Harry Kane,eng ENG,FW,31.0,13.0,13.0,1119.0,12.4,11.0,2.0,13.0,7.0,4.0,4.0,1.0,0.0,10.3,7.5,1.6,9.1,13.0,34.0,63.0,Bayern Munich,,,,,,,,
191,2,Kim Min-jae,kr KOR,DF,27.0,13.0,13.0,1066.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.7,7.0,59.0,2.0,Bayern Munich,,,,,,,,
192,3,Michael Olise,fr FRA,"FW,MF",22.0,14.0,13.0,1027.0,11.4,5.0,2.0,7.0,4.0,1.0,1.0,1.0,0.0,5.1,4.3,3.1,7.5,52.0,99.0,155.0,Bayern Munich,,,,,,,,
193,4,Dayot Upamecano,fr FRA,DF,25.0,11.0,11.0,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.3,8.0,64.0,1.0,Bayern Munich,,,,,,,,
194,5,Manuel Neuer,de GER,GK,38.0,10.0,10.0,822.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Bayern Munich,,,,,,,,
195,6,Konrad Laimer,at AUT,DF,27.0,11.0,10.0,779.0,8.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,1.5,1.9,33.0,64.0,48.0,Bayern Munich,,,,,,,,
196,7,Jamal Musiala,de GER,MF,21.0,12.0,9.0,864.0,9.6,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.8,3.8,4.0,7.8,48.0,55.0,71.0,Bayern Munich,,,,,,,,
197,8,Leon Goretzka,de GER,MF,29.0,12.0,9.0,839.0,9.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,0.8,2.4,23.0,63.0,10.0,Bayern Munich,,,,,,,,
198,9,Alphonso Davies,ca CAN,DF,23.0,9.0,8.0,701.0,7.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,0.7,2.4,36.0,51.0,41.0,Bayern Munich,,,,,,,,
199,10,Leroy Sané,de GER,"FW,MF",28.0,13.0,6.0,635.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.6,2.4,27.0,32.0,117.0,Bayern Munich,,,,,,,,
200,11,Raphaël Guerreiro,pt POR,"DF,MF",30.0,9.0,6.0,520.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.1,15.0,34.0,47.0,Bayern Munich,,,,,,,,
201,12,Serge Gnabry,de GER,FW,29.0,12.0,5.0,552.0,6.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,1.5,3.3,22.0,25.0,87.0,Bayern Munich,,,,,,,,
202,13,Kingsley Coman,fr FRA,FW,28.0,11.0,5.0,458.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.9,22.0,17.0,75.0,Bayern Munich,,,,,,,,
203,14,Josip Stanišić,hr CRO,DF,24.0,6.0,4.0,421.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,15.0,35.0,23.0,Bayern Munich,,,,,,,,
204,15,Thomas Müller,de GER,"MF,FW",34.0,12.0,4.0,371.0,4.1,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,1.1,3.2,10.0,20.0,45.0,Bayern Munich,,,,,,,,
205,16,Jonas Urbig,de GER,GK,20.0,4.0,3.0,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,,,,,,,,
206,17,Eric Dier,eng ENG,DF,30.0,6.0,3.0,297.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,14.0,2.0,Bayern Munich,,,,,,,,
207,18,Aleksandar Pavlovic,de GER,MF,20.0,5.0,3.0,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,50.0,8.0,Bayern Munich,,,,,,,,
208,19,João Palhinha,pt POR,MF,29.0,5.0,2.0,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.6,1.0,12.0,3.0,Bayern Munich,,,,,,,,
209,20,Sacha Boey,fr FRA,DF,23.0,3.0,1.0,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,13.0,27.0,Bayern Munich,,,,,,,,
210,21,Mathys Tel,fr FRA,"MF,FW",19.0,3.0,1.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,7.0,5.0,16.0,Bayern Munich,,,,,,,,
211,22,Daniel Peretz,il ISR,GK,24.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,,,,,,,,
212,23,Sven Ulreich,de GER,GK,35.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,,,,,,,,
213,24,Hiroki Ito,jp JPN,DF,25.0,2.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bayern Munich,,,,,,,,
214,25,Arijon Ibrahimović,de GER,FW,18.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,,,,,,,,
215,26,Adam Aznou,ma MAR,DF,18.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,,,,,,,,
216,27,Jonathan Asp Jensen,dk DEN,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
217,28,Tarek Buchmann,de GER,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
218,29,Nestory Irankunda,au AUS,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
219,30,Lennart Karl,de GER,MF,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
220,31,Leon Klanac,de GER,GK,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
221,32,Jonah Kusi-Asare,se SWE,FW,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
222,33,Noel Nkili,de GER,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
223,34,Max Schmitt,de GER,GK,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
224,35,Gabriel Vidovic,hr CRO,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Bayern Munich,,,,,,,,
225,0,Nicolás Otamendi,ar ARG,DF,36.0,12.0,12.0,1080.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.1,1.3,5.0,29.0,3.0,Benfica,,,,,,,,
226,1,Anatolii Trubin,ua UKR,GK,22.0,12.0,12.0,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,,,,,,,,
227,2,Orkun Kökçü,tr TUR,MF,23.0,12.0,12.0,987.0,11.0,4.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,2.1,1.3,1.4,2.7,23.0,67.0,26.0,Benfica,,,,,,,,
228,3,Fredrik Aursnes,no NOR,MF,28.0,12.0,11.0,989.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,1.1,2.4,24.0,47.0,36.0,Benfica,,,,,,,,
229,4,Tomás Araújo,pt POR,DF,22.0,11.0,11.0,924.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,31.0,12.0,Benfica,,,,,,,,
230,5,Vangelis Pavlidis,gr GRE,FW,25.0,12.0,11.0,895.0,9.9,7.0,2.0,9.0,5.0,2.0,2.0,1.0,0.0,7.8,6.3,1.4,7.7,19.0,18.0,52.0,Benfica,,,,,,,,
231,6,Kerem Aktürkoğlu,tr TUR,FW,25.0,12.0,11.0,847.0,9.4,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.9,3.9,1.5,5.5,18.0,14.0,46.0,Benfica,,,,,,,,
232,7,Álvaro Carreras,es ESP,DF,21.0,10.0,10.0,900.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.5,1.9,20.0,54.0,56.0,Benfica,,,,,,,,
233,8,Florentino Luís,pt POR,MF,24.0,9.0,9.0,713.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,1.0,9.0,2.0,Benfica,,,,,,,,
234,9,António Silva,pt POR,DF,20.0,9.0,8.0,725.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,4.0,14.0,0.0,Benfica,,,,,,,,
235,10,Ángel Di María,ar ARG,"FW,MF",36.0,9.0,6.0,545.0,6.1,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.4,1.6,2.6,4.2,28.0,36.0,44.0,Benfica,,,,,,,,
236,11,Alexander Bah,dk DEN,DF,26.0,7.0,6.0,498.0,5.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.9,1.6,12.0,19.0,23.0,Benfica,,,,,,,,
237,12,Andreas Schjelderup,no NOR,FW,20.0,7.0,6.0,402.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.9,1.4,21.0,12.0,29.0,Benfica,,,,,,,,
