"date","season","home_team","away_team","home_goals","away_goals","result"
2019-04-09,"2018/2019","Tottenham eng","eng Manchester City",1,0,"H"
2019-04-10,"2018/2019","Manchester Utd eng","es Barcelona",0,1,"A"
2019-04-10,"2018/2019","Ajax nl","it Juventus",1,1,"D"
2019-04-16,"2018/2019","Juventus it","nl Ajax",1,2,"A"
2019-04-16,"2018/2019","Barcelona es","eng Manchester Utd",3,0,"H"
2019-04-17,"2018/2019","Porto pt","eng Liverpool",1,4,"A"
2019-04-17,"2018/2019","Manchester City eng","eng Tottenham",4,3,"H"
2019-04-30,"2018/2019","Tottenham eng","nl Ajax",0,1,"A"
2019-05-01,"2018/2019","Barcelona es","eng Liverpool",3,0,"H"
2019-05-07,"2018/2019","Liverpool eng","es Barcelona",4,0,"H"
2019-05-08,"2018/2019","Ajax nl","eng Tottenham",2,3,"A"
2019-06-01,"2018/2019","Tottenham eng","eng Liverpool",0,2,"A"
2019-09-17,"2019/2020","Lyon fr","ru Zenit",1,1,"D"
2019-09-17,"2019/2020","Inter it","cz Slavia Prague",1,1,"D"
2019-09-17,"2019/2020","Chelsea eng","es Valencia",0,1,"A"
2019-09-17,"2019/2020","Benfica pt","de RB Leipzig",1,2,"A"
2019-09-17,"2019/2020","Dortmund de","es Barcelona",0,0,"D"
2019-09-17,"2019/2020","RB Salzburg at","be Genk",6,2,"H"
2019-09-17,"2019/2020","Ajax nl","fr Lille",3,0,"H"
2019-09-17,"2019/2020","Napoli it","eng Liverpool",2,0,"H"
2019-09-18,"2019/2020","Club Brugge be","tr Galatasaray",0,0,"D"
2019-09-18,"2019/2020","Olympiacos gr","eng Tottenham",2,2,"D"
2019-09-18,"2019/2020","Atlético Madrid es","it Juventus",2,2,"D"
2019-09-18,"2019/2020","Paris S-G fr","es Real Madrid",3,0,"H"
2019-09-18,"2019/2020","Bayern Munich de","rs Red Star",3,0,"H"
2019-09-18,"2019/2020","Dinamo Zagreb hr","it Atalanta",4,0,"H"
2019-09-18,"2019/2020","Leverkusen de","ru Loko Moscow",1,2,"A"
2019-09-18,"2019/2020","Shakhtar ua","eng Manchester City",0,3,"A"
2019-10-01,"2019/2020","Atalanta it","ua Shakhtar",1,2,"A"
2019-10-01,"2019/2020","Real Madrid es","be Club Brugge",2,2,"D"
2019-10-01,"2019/2020","Manchester City eng","hr Dinamo Zagreb",2,0,"H"
2019-10-01,"2019/2020","Tottenham eng","de Bayern Munich",2,7,"A"
2019-10-01,"2019/2020","Juventus it","de Leverkusen",3,0,"H"
2019-10-01,"2019/2020","Red Star rs","gr Olympiacos",3,1,"H"
2019-10-01,"2019/2020","Loko Moscow ru","es Atlético Madrid",0,2,"A"
2019-10-01,"2019/2020","Galatasaray tr","fr Paris S-G",0,1,"A"
2019-10-02,"2019/2020","Genk be","it Napoli",0,0,"D"
2019-10-02,"2019/2020","Slavia Prague cz","de Dortmund",0,2,"A"
2019-10-02,"2019/2020","Liverpool eng","at RB Salzburg",4,3,"H"
2019-10-02,"2019/2020","Barcelona es","it Inter",2,1,"H"
2019-10-02,"2019/2020","RB Leipzig de","fr Lyon",0,2,"A"
2019-10-02,"2019/2020","Lille fr","eng Chelsea",1,2,"A"
2019-10-02,"2019/2020","Valencia es","nl Ajax",0,3,"A"
2019-10-02,"2019/2020","Zenit ru","pt Benfica",3,1,"H"
2019-10-22,"2019/2020","Atlético Madrid es","de Leverkusen",1,0,"H"
2019-10-22,"2019/2020","Shakhtar ua","hr Dinamo Zagreb",2,2,"D"
2019-10-22,"2019/2020","Tottenham eng","rs Red Star",5,0,"H"
2019-10-22,"2019/2020","Manchester City eng","it Atalanta",5,1,"H"
2019-10-22,"2019/2020","Club Brugge be","fr Paris S-G",0,5,"A"
2019-10-22,"2019/2020","Juventus it","ru Loko Moscow",2,1,"H"
2019-10-22,"2019/2020","Olympiacos gr","de Bayern Munich",2,3,"A"
2019-10-22,"2019/2020","Galatasaray tr","es Real Madrid",0,1,"A"
2019-10-23,"2019/2020","RB Leipzig de","ru Zenit",2,1,"H"
2019-10-23,"2019/2020","Ajax nl","eng Chelsea",0,1,"A"
2019-10-23,"2019/2020","Benfica pt","fr Lyon",2,1,"H"
2019-10-23,"2019/2020","Inter it","de Dortmund",2,0,"H"
2019-10-23,"2019/2020","RB Salzburg at","it Napoli",2,3,"A"
2019-10-23,"2019/2020","Lille fr","es Valencia",1,1,"D"
2019-10-23,"2019/2020","Genk be","eng Liverpool",1,4,"A"
2019-10-23,"2019/2020","Slavia Prague cz","es Barcelona",1,2,"A"
2019-11-05,"2019/2020","Barcelona es","cz Slavia Prague",0,0,"D"
2019-11-05,"2019/2020","Liverpool eng","be Genk",2,1,"H"
2019-11-05,"2019/2020","Chelsea eng","nl Ajax",4,4,"D"
2019-11-05,"2019/2020","Zenit ru","de RB Leipzig",0,2,"A"
2019-11-05,"2019/2020","Valencia es","fr Lille",4,1,"H"
2019-11-05,"2019/2020","Napoli it","at RB Salzburg",1,1,"D"
2019-11-05,"2019/2020","Dortmund de","it Inter",3,2,"H"
2019-11-05,"2019/2020","Lyon fr","pt Benfica",3,1,"H"
2019-11-06,"2019/2020","Bayern Munich de","gr Olympiacos",2,0,"H"
2019-11-06,"2019/2020","Loko Moscow ru","it Juventus",1,2,"A"
2019-11-06,"2019/2020","Atalanta it","eng Manchester City",1,1,"D"
2019-11-06,"2019/2020","Leverkusen de","es Atlético Madrid",2,1,"H"
2019-11-06,"2019/2020","Paris S-G fr","be Club Brugge",1,0,"H"
2019-11-06,"2019/2020","Real Madrid es","tr Galatasaray",6,0,"H"
2019-11-06,"2019/2020","Red Star rs","eng Tottenham",0,4,"A"
2019-11-06,"2019/2020","Dinamo Zagreb hr","ua Shakhtar",3,3,"D"
2019-11-26,"2019/2020","Manchester City eng","ua Shakhtar",1,1,"D"
2019-11-26,"2019/2020","Tottenham eng","gr Olympiacos",4,2,"H"
2019-11-26,"2019/2020","Galatasaray tr","be Club Brugge",1,1,"D"
2019-11-26,"2019/2020","Loko Moscow ru","de Leverkusen",0,2,"A"
2019-11-26,"2019/2020","Real Madrid es","fr Paris S-G",2,2,"D"
2019-11-26,"2019/2020","Red Star rs","de Bayern Munich",0,6,"A"
2019-11-26,"2019/2020","Juventus it","es Atlético Madrid",1,0,"H"
2019-11-26,"2019/2020","Atalanta it","hr Dinamo Zagreb",2,0,"H"
2019-11-27,"2019/2020","Valencia es","eng Chelsea",2,2,"D"
2019-11-27,"2019/2020","Liverpool eng","it Napoli",1,1,"D"
2019-11-27,"2019/2020","Zenit ru","fr Lyon",2,0,"H"
2019-11-27,"2019/2020","Slavia Prague cz","it Inter",1,3,"A"
2019-11-27,"2019/2020","Genk be","at RB Salzburg",1,4,"A"
2019-11-27,"2019/2020","Lille fr","nl Ajax",0,2,"A"
2019-11-27,"2019/2020","RB Leipzig de","pt Benfica",2,2,"D"
2019-11-27,"2019/2020","Barcelona es","de Dortmund",3,1,"H"
2019-12-10,"2019/2020","Napoli it","be Genk",4,0,"H"
2019-12-10,"2019/2020","RB Salzburg at","eng Liverpool",0,2,"A"
2019-12-10,"2019/2020","Benfica pt","ru Zenit",3,0,"H"
2019-12-10,"2019/2020","Chelsea eng","fr Lille",2,1,"H"
2019-12-10,"2019/2020","Inter it","es Barcelona",1,2,"A"
2019-12-10,"2019/2020","Lyon fr","de RB Leipzig",2,2,"D"
2019-12-10,"2019/2020","Ajax nl","es Valencia",0,1,"A"
2019-12-10,"2019/2020","Dortmund de","cz Slavia Prague",2,1,"H"
2019-12-11,"2019/2020","Dinamo Zagreb hr","eng Manchester City",1,4,"A"
2019-12-11,"2019/2020","Shakhtar ua","it Atalanta",0,3,"A"
2019-12-11,"2019/2020","Paris S-G fr","tr Galatasaray",5,0,"H"
2019-12-11,"2019/2020","Bayern Munich de","eng Tottenham",3,1,"H"
2019-12-11,"2019/2020","Atlético Madrid es","ru Loko Moscow",2,0,"H"
2019-12-11,"2019/2020","Leverkusen de","it Juventus",0,2,"A"
2019-12-11,"2019/2020","Club Brugge be","es Real Madrid",1,3,"A"
2019-12-11,"2019/2020","Olympiacos gr","rs Red Star",1,0,"H"
2020-02-18,"2019/2020","Dortmund de","fr Paris S-G",2,1,"H"
2020-02-18,"2019/2020","Atlético Madrid es","eng Liverpool",1,0,"H"
2020-02-19,"2019/2020","Tottenham eng","de RB Leipzig",0,1,"A"
2020-02-19,"2019/2020","Atalanta it","es Valencia",4,1,"H"
2020-02-25,"2019/2020","Chelsea eng","de Bayern Munich",0,3,"A"
2020-02-25,"2019/2020","Napoli it","es Barcelona",1,1,"D"
2020-02-26,"2019/2020","Real Madrid es","eng Manchester City",1,2,"A"
2020-02-26,"2019/2020","Lyon fr","it Juventus",1,0,"H"
2020-03-10,"2019/2020","Valencia es","it Atalanta",3,4,"A"
2020-03-10,"2019/2020","RB Leipzig de","eng Tottenham",3,0,"H"
2020-03-11,"2019/2020","Liverpool eng","es Atlético Madrid",2,3,"A"
2020-03-11,"2019/2020","Paris S-G fr","de Dortmund",2,0,"H"
2020-08-07,"2019/2020","Manchester City eng","es Real Madrid",2,1,"H"
2020-08-07,"2019/2020","Juventus it","fr Lyon",2,1,"H"
2020-08-08,"2019/2020","Barcelona es","it Napoli",3,1,"H"
2020-08-08,"2019/2020","Bayern Munich de","eng Chelsea",4,1,"H"
2020-08-12,"2019/2020","Atalanta it","fr Paris S-G",1,2,"A"
2020-08-13,"2019/2020","RB Leipzig de","es Atlético Madrid",2,1,"H"
2020-08-14,"2019/2020","Barcelona es","de Bayern Munich",2,8,"A"
2020-08-15,"2019/2020","Manchester City eng","fr Lyon",1,3,"A"
2020-08-18,"2019/2020","RB Leipzig de","fr Paris S-G",0,3,"A"
2020-08-19,"2019/2020","Lyon fr","de Bayern Munich",0,3,"A"
2020-08-23,"2019/2020","Paris S-G fr","de Bayern Munich",0,1,"A"
2020-10-20,"2020/2021","Zenit ru","be Club Brugge",1,2,"A"
2020-10-20,"2020/2021","Dynamo Kyiv ua","it Juventus",0,2,"A"
2020-10-20,"2020/2021","Chelsea eng","es Sevilla",0,0,"D"
2020-10-20,"2020/2021","Barcelona es","hu Ferencváros",5,1,"H"
2020-10-20,"2020/2021","RB Leipzig de","tr Başakşehir",2,0,"H"
2020-10-20,"2020/2021","Rennes fr","ru Krasnodar",1,1,"D"
2020-10-20,"2020/2021","Paris S-G fr","eng Manchester Utd",1,2,"A"
2020-10-20,"2020/2021","Lazio it","de Dortmund",3,1,"H"
2020-10-21,"2020/2021","Real Madrid es","ua Shakhtar",2,3,"A"
2020-10-21,"2020/2021","RB Salzburg at","ru Loko Moscow",2,2,"D"
2020-10-21,"2020/2021","Manchester City eng","pt Porto",3,1,"H"
2020-10-21,"2020/2021","Bayern Munich de","es Atlético Madrid",4,0,"H"
2020-10-21,"2020/2021","Inter it","de Gladbach",2,2,"D"
2020-10-21,"2020/2021","Ajax nl","eng Liverpool",0,1,"A"
2020-10-21,"2020/2021","Midtjylland dk","it Atalanta",0,4,"A"
2020-10-21,"2020/2021","Olympiacos gr","fr Marseille",1,0,"H"
2020-10-27,"2020/2021","Shakhtar ua","it Inter",0,0,"D"
2020-10-27,"2020/2021","Liverpool eng","dk Midtjylland",2,0,"H"
2020-10-27,"2020/2021","Porto pt","gr Olympiacos",2,0,"H"
2020-10-27,"2020/2021","Loko Moscow ru","de Bayern Munich",1,2,"A"
2020-10-27,"2020/2021","Marseille fr","eng Manchester City",0,3,"A"
2020-10-27,"2020/2021","Atalanta it","nl Ajax",2,2,"D"
2020-10-27,"2020/2021","Atlético Madrid es","at RB Salzburg",3,2,"H"
2020-10-27,"2020/2021","Gladbach de","es Real Madrid",2,2,"D"
2020-10-28,"2020/2021","Manchester Utd eng","de RB Leipzig",5,0,"H"
2020-10-28,"2020/2021","Krasnodar ru","eng Chelsea",0,4,"A"
2020-10-28,"2020/2021","Başakşehir tr","fr Paris S-G",0,2,"A"
2020-10-28,"2020/2021","Dortmund de","ru Zenit",2,0,"H"
2020-10-28,"2020/2021","Club Brugge be","it Lazio",1,1,"D"
2020-10-28,"2020/2021","Sevilla es","fr Rennes",1,0,"H"
2020-10-28,"2020/2021","Ferencváros hu","ua Dynamo Kyiv",2,2,"D"
2020-10-28,"2020/2021","Juventus it","es Barcelona",0,2,"A"
2020-11-03,"2020/2021","Shakhtar ua","de Gladbach",0,6,"A"
2020-11-03,"2020/2021","Porto pt","fr Marseille",3,0,"H"
2020-11-03,"2020/2021","Manchester City eng","gr Olympiacos",3,0,"H"
2020-11-03,"2020/2021","Loko Moscow ru","es Atlético Madrid",1,1,"D"
2020-11-03,"2020/2021","RB Salzburg at","de Bayern Munich",2,6,"A"
2020-11-03,"2020/2021","Midtjylland dk","nl Ajax",1,2,"A"
2020-11-03,"2020/2021","Real Madrid es","it Inter",3,2,"H"
2020-11-03,"2020/2021","Atalanta it","eng Liverpool",0,5,"A"
2020-11-04,"2020/2021","Chelsea eng","fr Rennes",3,0,"H"
2020-11-04,"2020/2021","Başakşehir tr","eng Manchester Utd",2,1,"H"
2020-11-04,"2020/2021","Zenit ru","it Lazio",1,1,"D"
2020-11-04,"2020/2021","Sevilla es","ru Krasnodar",3,2,"H"
2020-11-04,"2020/2021","Club Brugge be","de Dortmund",0,3,"A"
2020-11-04,"2020/2021","Ferencváros hu","it Juventus",1,4,"A"
2020-11-04,"2020/2021","Barcelona es","ua Dynamo Kyiv",2,1,"H"
2020-11-04,"2020/2021","RB Leipzig de","fr Paris S-G",2,1,"H"
2020-11-24,"2020/2021","Rennes fr","eng Chelsea",1,2,"A"
2020-11-24,"2020/2021","Manchester Utd eng","tr Başakşehir",4,1,"H"
2020-11-24,"2020/2021","Krasnodar ru","es Sevilla",1,2,"A"
2020-11-24,"2020/2021","Lazio it","ru Zenit",3,1,"H"
2020-11-24,"2020/2021","Paris S-G fr","de RB Leipzig",1,0,"H"
2020-11-24,"2020/2021","Dortmund de","be Club Brugge",3,0,"H"
2020-11-24,"2020/2021","Juventus it","hu Ferencváros",2,1,"H"
2020-11-24,"2020/2021","Dynamo Kyiv ua","es Barcelona",0,4,"A"
2020-11-25,"2020/2021","Gladbach de","ua Shakhtar",4,0,"H"
2020-11-25,"2020/2021","Olympiacos gr","eng Manchester City",0,1,"A"
2020-11-25,"2020/2021","Liverpool eng","it Atalanta",0,2,"A"
2020-11-25,"2020/2021","Marseille fr","pt Porto",0,2,"A"
2020-11-25,"2020/2021","Inter it","es Real Madrid",0,2,"A"
2020-11-25,"2020/2021","Ajax nl","dk Midtjylland",3,1,"H"
2020-11-25,"2020/2021","Atlético Madrid es","ru Loko Moscow",0,0,"D"
2020-11-25,"2020/2021","Bayern Munich de","at RB Salzburg",3,1,"H"
2020-12-01,"2020/2021","Shakhtar ua","es Real Madrid",2,0,"H"
2020-12-01,"2020/2021","Liverpool eng","nl Ajax",1,0,"H"
2020-12-01,"2020/2021","Porto pt","eng Manchester City",0,0,"D"
2020-12-01,"2020/2021","Loko Moscow ru","at RB Salzburg",1,3,"A"
2020-12-01,"2020/2021","Marseille fr","gr Olympiacos",2,1,"H"
2020-12-01,"2020/2021","Atalanta it","dk Midtjylland",1,1,"D"
2020-12-01,"2020/2021","Gladbach de","it Inter",2,3,"A"
2020-12-01,"2020/2021","Atlético Madrid es","de Bayern Munich",1,1,"D"
2020-12-02,"2020/2021","Manchester Utd eng","fr Paris S-G",1,3,"A"
2020-12-02,"2020/2021","Krasnodar ru","fr Rennes",1,0,"H"
2020-12-02,"2020/2021","Başakşehir tr","de RB Leipzig",3,4,"A"
2020-12-02,"2020/2021","Club Brugge be","ru Zenit",3,0,"H"
2020-12-02,"2020/2021","Juventus it","ua Dynamo Kyiv",3,0,"H"
2020-12-02,"2020/2021","Dortmund de","it Lazio",1,1,"D"
2020-12-02,"2020/2021","Ferencváros hu","es Barcelona",0,3,"A"
2020-12-02,"2020/2021","Sevilla es","eng Chelsea",0,4,"A"
2020-12-08,"2020/2021","Lazio it","be Club Brugge",2,2,"D"
2020-12-08,"2020/2021","Chelsea eng","ru Krasnodar",1,1,"D"
2020-12-08,"2020/2021","Zenit ru","de Dortmund",1,2,"A"
2020-12-08,"2020/2021","Barcelona es","it Juventus",0,3,"A"
2020-12-08,"2020/2021","Rennes fr","es Sevilla",1,3,"A"
2020-12-08,"2020/2021","RB Leipzig de","eng Manchester Utd",3,2,"H"
2020-12-08,"2020/2021","Dynamo Kyiv ua","hu Ferencváros",1,0,"H"
2020-12-09,"2020/2021","Ajax nl","it Atalanta",0,1,"A"
2020-12-09,"2020/2021","Paris S-G fr","tr Başakşehir",5,1,"H"
2020-12-09,"2020/2021","Midtjylland dk","eng Liverpool",1,1,"D"
2020-12-09,"2020/2021","Manchester City eng","fr Marseille",3,0,"H"
2020-12-09,"2020/2021","Real Madrid es","de Gladbach",2,0,"H"
2020-12-09,"2020/2021","Bayern Munich de","ru Loko Moscow",2,0,"H"
2020-12-09,"2020/2021","RB Salzburg at","es Atlético Madrid",0,2,"A"
2020-12-09,"2020/2021","Inter it","ua Shakhtar",0,0,"D"
2020-12-09,"2020/2021","Olympiacos gr","pt Porto",0,2,"A"
2021-02-16,"2020/2021","Barcelona es","fr Paris S-G",1,4,"A"
2021-02-16,"2020/2021","RB Leipzig de","eng Liverpool",0,2,"A"
2021-02-17,"2020/2021","Porto pt","it Juventus",2,1,"H"
2021-02-17,"2020/2021","Sevilla es","de Dortmund",2,3,"A"
2021-02-23,"2020/2021","Lazio it","de Bayern Munich",1,4,"A"
2021-02-23,"2020/2021","Atlético Madrid es","eng Chelsea",0,1,"A"
2021-02-24,"2020/2021","Gladbach de","eng Manchester City",0,2,"A"
2021-02-24,"2020/2021","Atalanta it","es Real Madrid",0,1,"A"
2021-03-09,"2020/2021","Juventus it","pt Porto",3,2,"H"
2021-03-09,"2020/2021","Dortmund de","es Sevilla",2,2,"D"
2021-03-10,"2020/2021","Liverpool eng","de RB Leipzig",2,0,"H"
2021-03-10,"2020/2021","Paris S-G fr","es Barcelona",1,1,"D"
2021-03-16,"2020/2021","Manchester City eng","de Gladbach",2,0,"H"
2021-03-16,"2020/2021","Real Madrid es","it Atalanta",3,1,"H"
2021-03-17,"2020/2021","Chelsea eng","es Atlético Madrid",2,0,"H"
2021-03-17,"2020/2021","Bayern Munich de","it Lazio",2,1,"H"
2021-04-06,"2020/2021","Manchester City eng","de Dortmund",2,1,"H"
2021-04-06,"2020/2021","Real Madrid es","eng Liverpool",3,1,"H"
2021-04-07,"2020/2021","Porto pt","eng Chelsea",0,2,"A"
2021-04-07,"2020/2021","Bayern Munich de","fr Paris S-G",2,3,"A"
2021-04-13,"2020/2021","Chelsea eng","pt Porto",0,1,"A"
2021-04-13,"2020/2021","Paris S-G fr","de Bayern Munich",0,1,"A"
2021-04-14,"2020/2021","Liverpool eng","es Real Madrid",0,0,"D"
2021-04-14,"2020/2021","Dortmund de","eng Manchester City",1,2,"A"
2021-04-27,"2020/2021","Real Madrid es","eng Chelsea",1,1,"D"
2021-04-28,"2020/2021","Paris S-G fr","eng Manchester City",1,2,"A"
2021-05-04,"2020/2021","Manchester City eng","fr Paris S-G",2,0,"H"
2021-05-05,"2020/2021","Chelsea eng","es Real Madrid",2,0,"H"
2021-05-29,"2020/2021","Manchester City eng","eng Chelsea",0,1,"A"
2021-09-14,"2021/2022","Sevilla es","at RB Salzburg",1,1,"D"
2021-09-14,"2021/2022","Young Boys ch","eng Manchester Utd",2,1,"H"
2021-09-14,"2021/2022","Chelsea eng","ru Zenit",1,0,"H"
2021-09-14,"2021/2022","Villarreal es","it Atalanta",2,2,"D"
2021-09-14,"2021/2022","Barcelona es","de Bayern Munich",0,3,"A"
2021-09-14,"2021/2022","Lille fr","de Wolfsburg",0,0,"D"
2021-09-14,"2021/2022","Malmö se","it Juventus",0,3,"A"
2021-09-14,"2021/2022","Dynamo Kyiv ua","pt Benfica",0,0,"D"
2021-09-15,"2021/2022","Sheriff Tiraspol md","ua Shakhtar",2,0,"H"
2021-09-15,"2021/2022","Beşiktaş tr","de Dortmund",1,2,"A"
2021-09-15,"2021/2022","Sporting CP pt","nl Ajax",1,5,"A"
2021-09-15,"2021/2022","Manchester City eng","de RB Leipzig",6,3,"H"
2021-09-15,"2021/2022","Liverpool eng","it Milan",3,2,"H"
2021-09-15,"2021/2022","Inter it","es Real Madrid",0,1,"A"
2021-09-15,"2021/2022","Club Brugge be","fr Paris S-G",1,1,"D"
2021-09-15,"2021/2022","Atlético Madrid es","pt Porto",0,0,"D"
2021-09-28,"2021/2022","Ajax nl","tr Beşiktaş",2,0,"H"
2021-09-28,"2021/2022","Shakhtar ua","it Inter",0,0,"D"
2021-09-28,"2021/2022","Porto pt","eng Liverpool",1,5,"A"
2021-09-28,"2021/2022","Real Madrid es","md Sheriff Tiraspol",1,2,"A"
2021-09-28,"2021/2022","RB Leipzig de","be Club Brugge",1,2,"A"
2021-09-28,"2021/2022","Dortmund de","pt Sporting CP",1,0,"H"
2021-09-28,"2021/2022","Paris S-G fr","eng Manchester City",2,0,"H"
2021-09-28,"2021/2022","Milan it","es Atlético Madrid",1,2,"A"
2021-09-29,"2021/2022","Atalanta it","ch Young Boys",1,0,"H"
2021-09-29,"2021/2022","Zenit ru","se Malmö",4,0,"H"
2021-09-29,"2021/2022","Manchester Utd eng","es Villarreal",2,1,"H"
2021-09-29,"2021/2022","Benfica pt","es Barcelona",3,0,"H"
2021-09-29,"2021/2022","RB Salzburg at","fr Lille",2,1,"H"
2021-09-29,"2021/2022","Juventus it","eng Chelsea",1,0,"H"
2021-09-29,"2021/2022","Bayern Munich de","ua Dynamo Kyiv",5,0,"H"
2021-09-29,"2021/2022","Wolfsburg de","es Sevilla",1,1,"D"
2021-10-19,"2021/2022","Club Brugge be","eng Manchester City",1,5,"A"
2021-10-19,"2021/2022","Beşiktaş tr","pt Sporting CP",1,4,"A"
2021-10-19,"2021/2022","Porto pt","it Milan",1,0,"H"
2021-10-19,"2021/2022","Atlético Madrid es","eng Liverpool",2,3,"A"
2021-10-19,"2021/2022","Inter it","md Sheriff Tiraspol",3,1,"H"
2021-10-19,"2021/2022","Paris S-G fr","de RB Leipzig",3,2,"H"
2021-10-19,"2021/2022","Ajax nl","de Dortmund",4,0,"H"
2021-10-19,"2021/2022","Shakhtar ua","es Real Madrid",0,5,"A"
2021-10-20,"2021/2022","RB Salzburg at","de Wolfsburg",3,1,"H"
2021-10-20,"2021/2022","Barcelona es","ua Dynamo Kyiv",1,0,"H"
2021-10-20,"2021/2022","Manchester Utd eng","it Atalanta",3,2,"H"
2021-10-20,"2021/2022","Benfica pt","de Bayern Munich",0,4,"A"
2021-10-20,"2021/2022","Chelsea eng","se Malmö",4,0,"H"
2021-10-20,"2021/2022","Lille fr","es Sevilla",0,0,"D"
2021-10-20,"2021/2022","Young Boys ch","es Villarreal",1,4,"A"
2021-10-20,"2021/2022","Zenit ru","it Juventus",0,1,"A"
2021-11-02,"2021/2022","Wolfsburg de","at RB Salzburg",2,1,"H"
2021-11-02,"2021/2022","Malmö se","eng Chelsea",0,1,"A"
2021-11-02,"2021/2022","Bayern Munich de","pt Benfica",5,2,"H"
2021-11-02,"2021/2022","Atalanta it","eng Manchester Utd",2,2,"D"
2021-11-02,"2021/2022","Villarreal es","ch Young Boys",2,0,"H"
2021-11-02,"2021/2022","Juventus it","ru Zenit",4,2,"H"
2021-11-02,"2021/2022","Sevilla es","fr Lille",1,2,"A"
2021-11-02,"2021/2022","Dynamo Kyiv ua","es Barcelona",0,1,"A"
2021-11-03,"2021/2022","Milan it","pt Porto",1,1,"D"
2021-11-03,"2021/2022","Real Madrid es","ua Shakhtar",2,1,"H"
2021-11-03,"2021/2022","Manchester City eng","be Club Brugge",4,1,"H"
2021-11-03,"2021/2022","Sporting CP pt","tr Beşiktaş",4,0,"H"
2021-11-03,"2021/2022","Liverpool eng","es Atlético Madrid",2,0,"H"
2021-11-03,"2021/2022","RB Leipzig de","fr Paris S-G",2,2,"D"
2021-11-03,"2021/2022","Dortmund de","nl Ajax",1,3,"A"
2021-11-03,"2021/2022","Sheriff Tiraspol md","it Inter",1,3,"A"
2021-11-23,"2021/2022","Villarreal es","eng Manchester Utd",0,2,"A"
2021-11-23,"2021/2022","Dynamo Kyiv ua","de Bayern Munich",1,2,"A"
2021-11-23,"2021/2022","Chelsea eng","it Juventus",4,0,"H"
2021-11-23,"2021/2022","Barcelona es","pt Benfica",0,0,"D"
2021-11-23,"2021/2022","Lille fr","at RB Salzburg",1,0,"H"
2021-11-23,"2021/2022","Young Boys ch","it Atalanta",3,3,"D"
2021-11-23,"2021/2022","Sevilla es","de Wolfsburg",2,0,"H"
2021-11-23,"2021/2022","Malmö se","ru Zenit",1,1,"D"
2021-11-24,"2021/2022","Inter it","ua Shakhtar",2,0,"H"
2021-11-24,"2021/2022","Manchester City eng","fr Paris S-G",2,1,"H"
2021-11-24,"2021/2022","Sporting CP pt","de Dortmund",3,1,"H"
2021-11-24,"2021/2022","Liverpool eng","pt Porto",2,0,"H"
2021-11-24,"2021/2022","Beşiktaş tr","nl Ajax",1,2,"A"
2021-11-24,"2021/2022","Atlético Madrid es","it Milan",0,1,"A"
2021-11-24,"2021/2022","Club Brugge be","de RB Leipzig",0,5,"A"
2021-11-24,"2021/2022","Sheriff Tiraspol md","es Real Madrid",0,3,"A"
2021-12-07,"2021/2022","Paris S-G fr","be Club Brugge",4,1,"H"
2021-12-07,"2021/2022","RB Leipzig de","eng Manchester City",2,1,"H"
2021-12-07,"2021/2022","Porto pt","es Atlético Madrid",1,3,"A"
2021-12-07,"2021/2022","Real Madrid es","it Inter",2,0,"H"
2021-12-07,"2021/2022","Dortmund de","tr Beşiktaş",5,0,"H"
2021-12-07,"2021/2022","Ajax nl","pt Sporting CP",4,2,"H"
2021-12-07,"2021/2022","Milan it","eng Liverpool",1,2,"A"
2021-12-07,"2021/2022","Shakhtar ua","md Sheriff Tiraspol",1,1,"D"
2021-12-08,"2021/2022","Juventus it","se Malmö",1,0,"H"
2021-12-08,"2021/2022","Benfica pt","ua Dynamo Kyiv",2,0,"H"
2021-12-08,"2021/2022","Manchester Utd eng","ch Young Boys",1,1,"D"
2021-12-08,"2021/2022","Zenit ru","eng Chelsea",3,3,"D"
2021-12-08,"2021/2022","Bayern Munich de","es Barcelona",3,0,"H"
2021-12-08,"2021/2022","Wolfsburg de","fr Lille",1,3,"A"
2021-12-08,"2021/2022","RB Salzburg at","es Sevilla",1,0,"H"
2021-12-09,"2021/2022","Atalanta it","es Villarreal",2,3,"A"
2022-02-15,"2021/2022","Sporting CP pt","eng Manchester City",0,5,"A"
2022-02-15,"2021/2022","Paris S-G fr","es Real Madrid",1,0,"H"
2022-02-16,"2021/2022","RB Salzburg at","de Bayern Munich",1,1,"D"
2022-02-16,"2021/2022","Inter it","eng Liverpool",0,2,"A"
2022-02-22,"2021/2022","Chelsea eng","fr Lille",2,0,"H"
2022-02-22,"2021/2022","Villarreal es","it Juventus",1,1,"D"
2022-02-23,"2021/2022","Benfica pt","nl Ajax",2,2,"D"
2022-02-23,"2021/2022","Atlético Madrid es","eng Manchester Utd",1,1,"D"
2022-03-08,"2021/2022","Liverpool eng","it Inter",0,1,"A"
2022-03-08,"2021/2022","Bayern Munich de","at RB Salzburg",7,1,"H"
2022-03-09,"2021/2022","Manchester City eng","pt Sporting CP",0,0,"D"
2022-03-09,"2021/2022","Real Madrid es","fr Paris S-G",3,1,"H"
2022-03-15,"2021/2022","Manchester Utd eng","es Atlético Madrid",0,1,"A"
2022-03-15,"2021/2022","Ajax nl","pt Benfica",0,1,"A"
2022-03-16,"2021/2022","Lille fr","eng Chelsea",1,2,"A"
2022-03-16,"2021/2022","Juventus it","es Villarreal",0,3,"A"
